Date,Open,High,Low,Close,Volume
3/11/2022 16:00:00,6.86,7.04,6.28,6.33,2520566
3/14/2022 16:00:00,6.17,6.17,5.53,5.56,1479212
3/15/2022 16:00:00,5.2,5.75,5,5.71,1781243
3/16/2022 16:00:00,5.99,6.51,5.86,6.49,1719368
3/17/2022 16:00:00,6.34,6.66,6.24,6.6,1268606
3/18/2022 16:00:00,6.53,7.09,6.49,6.88,2090509
3/21/2022 16:00:00,6.73,6.98,6.6,6.84,1014814
3/22/2022 16:00:00,7.02,7.17,6.75,6.83,1100952
3/23/2022 16:00:00,6.71,7.08,6.69,6.8,1199477
3/24/2022 16:00:00,6.75,6.86,6.12,6.26,1853475
3/25/2022 16:00:00,6.39,6.41,5.76,5.84,1536704
3/28/2022 16:00:00,5.84,5.98,5.61,5.92,1261580
3/29/2022 16:00:00,5.98,6.14,5.87,6.07,1321909
3/30/2022 16:00:00,6.14,6.33,5.95,5.96,2371661
3/31/2022 16:00:00,5.97,6.01,5.74,5.81,769641
4/1/2022 16:00:00,5.9,6.11,5.76,5.87,859367
4/4/2022 16:00:00,5.97,6.38,5.97,6.25,935670
4/5/2022 16:00:00,6.3,6.32,5.81,5.81,882080
4/6/2022 16:00:00,5.71,5.8,5.48,5.55,857046
4/7/2022 16:00:00,5.55,5.75,5.41,5.58,585690
4/8/2022 16:00:00,5.54,5.63,5.35,5.54,926306
4/11/2022 16:00:00,5.54,5.58,5.39,5.43,479746
4/12/2022 16:00:00,5.56,5.7,5.45,5.54,491564
4/13/2022 16:00:00,5.54,5.67,5.52,5.6,419402
4/14/2022 16:00:00,5.63,5.66,5.43,5.45,524207
4/18/2022 16:00:00,5.44,5.47,5.31,5.42,542355
4/19/2022 16:00:00,5.43,5.71,5.34,5.63,366026
4/20/2022 16:00:00,5.68,5.68,5.38,5.42,475664
4/21/2022 16:00:00,5.42,5.52,5.01,5.06,954046
4/22/2022 16:00:00,5.06,5.2,4.9,4.92,750483
4/25/2022 16:00:00,4.88,4.98,4.65,4.97,782958
4/26/2022 16:00:00,4.93,4.95,4.64,4.71,1148319
4/27/2022 16:00:00,4.69,4.83,4.63,4.75,882071
4/28/2022 16:00:00,4.82,4.99,4.65,4.88,487525
4/29/2022 16:00:00,4.88,5.07,4.81,4.82,374786
5/2/2022 16:00:00,4.75,4.83,4.55,4.71,485049
5/3/2022 16:00:00,4.68,4.89,4.68,4.84,437142
5/4/2022 16:00:00,4.84,5.35,4.79,5.28,755309
5/5/2022 16:00:00,5.26,5.28,4.84,4.92,535296
5/6/2022 16:00:00,4.87,4.87,4.43,4.52,688546
5/9/2022 16:00:00,4.36,4.41,4.08,4.11,683114
5/10/2022 16:00:00,4.28,4.33,3.92,4.07,649629
5/11/2022 16:00:00,4.05,4.09,3.69,3.73,970319
5/12/2022 16:00:00,3.51,4.13,3.46,3.9,966848
5/13/2022 16:00:00,4.08,4.23,4.08,4.19,353478
5/16/2022 16:00:00,4.19,4.27,4.06,4.14,318338
5/17/2022 16:00:00,4.25,4.43,4.19,4.37,449610
5/18/2022 16:00:00,4.31,4.59,4.24,4.25,509082
5/19/2022 16:00:00,4.28,4.59,4.23,4.48,406217
5/20/2022 16:00:00,4.58,4.58,4.3,4.56,425424
5/23/2022 16:00:00,4.62,4.62,4.36,4.55,319922
5/24/2022 16:00:00,4.44,4.5,4.3,4.42,348819
5/25/2022 16:00:00,4.35,4.56,4.24,4.45,554631
5/26/2022 16:00:00,4.47,4.72,4.47,4.69,364834
5/27/2022 16:00:00,4.71,4.87,4.66,4.86,409614
5/31/2022 16:00:00,4.87,4.95,4.67,4.77,468873
6/1/2022 16:00:00,4.83,4.91,4.6,4.62,351755
6/2/2022 16:00:00,4.65,4.99,4.59,4.95,387720
6/3/2022 16:00:00,4.81,4.96,4.71,4.85,228121
6/6/2022 16:00:00,5.21,5.31,4.85,4.91,1474277
6/7/2022 16:00:00,4.9,5.18,4.9,5.14,682861
6/8/2022 16:00:00,4.98,5.23,4.9,5.09,591778
6/9/2022 16:00:00,4.95,5.01,4.73,4.9,750078
6/10/2022 16:00:00,4.72,4.97,4.53,4.57,772744
6/13/2022 16:00:00,4.42,4.62,4.37,4.54,1187877
6/14/2022 16:00:00,4.54,4.58,4.35,4.43,1194763
6/15/2022 16:00:00,4.8,5.07,4.67,5.02,1236651
6/16/2022 16:00:00,4.86,4.86,4.54,4.68,937661
6/17/2022 16:00:00,4.8,5.18,4.68,4.89,3400777
6/21/2022 16:00:00,4.99,4.99,4.58,4.67,1718795
6/22/2022 16:00:00,4.55,4.67,4.48,4.58,1599159
6/23/2022 16:00:00,4.73,4.96,4.71,4.92,1139192
6/24/2022 16:00:00,4.96,4.98,4.76,4.81,665774
6/27/2022 16:00:00,4.79,5.2,4.74,5.16,966072
6/28/2022 16:00:00,5.16,5.2,4.84,4.84,517741
6/29/2022 16:00:00,4.7,4.71,4.4,4.48,1429927
6/30/2022 16:00:00,4.4,4.81,4.4,4.75,830771
7/1/2022 16:00:00,4.78,4.87,4.58,4.67,431276
7/5/2022 16:00:00,4.57,4.72,4.41,4.71,547496
7/6/2022 16:00:00,4.68,4.84,4.5,4.55,438613
7/7/2022 16:00:00,4.6,4.88,4.6,4.84,505849
7/8/2022 16:00:00,4.76,5.15,4.74,5.06,657905
7/11/2022 16:00:00,4.97,5,4.78,4.82,413100
7/12/2022 16:00:00,4.84,4.89,4.67,4.84,456777
7/13/2022 16:00:00,4.72,4.97,4.7,4.85,307153
7/14/2022 16:00:00,4.76,4.89,4.74,4.83,280002
7/15/2022 16:00:00,4.76,4.85,4.43,4.7,846973
7/18/2022 16:00:00,4.81,5.01,4.77,4.81,406744
7/19/2022 16:00:00,4.84,4.94,4.82,4.91,316215
7/20/2022 16:00:00,4.89,5.3,4.89,5.28,925275
7/21/2022 16:00:00,5.3,5.39,5.04,5.07,350254
7/22/2022 16:00:00,5.11,5.12,4.87,4.91,272513
7/25/2022 16:00:00,4.91,4.96,4.74,4.91,406200
7/26/2022 16:00:00,4.86,4.91,4.73,4.76,477617
7/27/2022 16:00:00,4.93,5.23,4.84,5.19,539366
7/28/2022 16:00:00,5.49,5.92,5.45,5.76,1921630
7/29/2022 16:00:00,5.67,6.3,5.53,6.28,1409491
8/1/2022 16:00:00,6.3,6.5,6.06,6.18,926261
8/2/2022 16:00:00,6.01,6.69,6,6.69,1656704
8/3/2022 16:00:00,6.75,6.76,6.53,6.54,963084
8/4/2022 16:00:00,6.54,6.7,6.4,6.61,518624
8/5/2022 16:00:00,6.78,7.07,6.65,6.98,1007601
8/8/2022 16:00:00,7.5,7.5,7.19,7.23,919983
8/9/2022 16:00:00,6.99,7.19,6.79,6.84,821731
8/10/2022 16:00:00,7.04,7.43,6.96,7.41,707814
8/11/2022 16:00:00,7.49,7.49,6.98,6.99,850629
8/12/2022 16:00:00,7.03,7.32,6.95,7.2,504723
8/15/2022 16:00:00,7.05,7.21,6.9,7,609045
8/16/2022 16:00:00,7.03,7.05,6.58,6.6,844615
8/17/2022 16:00:00,6.5,6.59,6.24,6.34,444075
8/18/2022 16:00:00,6.36,6.81,6.36,6.79,675616
8/19/2022 16:00:00,6.58,6.64,6.4,6.43,452740
8/22/2022 16:00:00,6.24,6.34,6.05,6.25,612218
8/23/2022 16:00:00,6.32,6.43,6.22,6.25,337162
8/24/2022 16:00:00,6.3,6.55,6.3,6.44,410167
8/25/2022 16:00:00,6.56,6.6,6.33,6.4,293820
8/26/2022 16:00:00,6.53,6.53,6.2,6.28,422417
8/29/2022 16:00:00,6.2,6.34,6.04,6.06,644794
8/30/2022 16:00:00,6.13,6.17,5.83,5.89,614561
8/31/2022 16:00:00,5.85,5.91,5.68,5.84,494557
9/1/2022 16:00:00,5.65,5.67,5.27,5.33,825137
9/2/2022 16:00:00,5.47,5.47,5.08,5.11,970969
9/6/2022 16:00:00,5.08,5.28,4.96,5.28,682283
9/7/2022 16:00:00,5.34,5.48,5.21,5.43,728739
9/8/2022 16:00:00,5.46,5.59,4.96,5.1,1405004
9/9/2022 16:00:00,5.15,5.62,5.15,5.5,910241
9/12/2022 16:00:00,5.51,5.57,5.34,5.54,663086
9/13/2022 16:00:00,5.41,5.76,5.37,5.63,869700
9/14/2022 16:00:00,5.7,5.97,5.45,5.97,923703
9/15/2022 16:00:00,5.92,6.32,5.91,6.08,1380476
9/16/2022 16:00:00,5.9,6.01,5.77,5.92,1558993
9/19/2022 16:00:00,5.8,6.1,5.77,6.08,767075
9/20/2022 16:00:00,6,6.04,5.35,5.35,689380
9/21/2022 16:00:00,5.44,5.65,5.33,5.48,726170
9/22/2022 16:00:00,5.39,5.49,5.12,5.17,555204
9/23/2022 16:00:00,5.23,5.23,4.96,5.12,630914
9/26/2022 16:00:00,5.09,5.35,5.04,5.05,469721
9/27/2022 16:00:00,5.18,5.3,5.13,5.21,556764
9/28/2022 16:00:00,5.21,5.4,5.07,5.35,541988
9/29/2022 16:00:00,5.23,5.26,4.91,5,896985
9/30/2022 16:00:00,5.04,5.22,4.96,5.04,405151
10/3/2022 16:00:00,5.04,5.26,5.03,5.14,447335
10/4/2022 16:00:00,5.3,5.87,5.28,5.85,1061509
10/5/2022 16:00:00,5.71,5.77,5.27,5.33,733381
10/6/2022 16:00:00,5.32,5.5,5.04,5.07,774718
10/7/2022 16:00:00,5.01,5.06,4.85,4.9,898706
10/10/2022 16:00:00,4.91,4.91,4.51,4.54,767433
10/11/2022 16:00:00,4.58,4.67,4.38,4.59,639863
10/12/2022 16:00:00,4.53,4.62,4.43,4.48,569820
10/13/2022 16:00:00,4.34,4.58,4.25,4.48,436002
10/14/2022 16:00:00,4.56,4.7,4.41,4.45,721905
10/17/2022 16:00:00,4.49,4.69,4.49,4.63,410562
10/18/2022 16:00:00,4.64,4.83,4.39,4.48,655241
10/19/2022 16:00:00,4.4,4.45,4.26,4.29,336496
10/20/2022 16:00:00,4.29,4.41,4.21,4.21,457044
10/21/2022 16:00:00,4.16,4.27,4.11,4.25,610700
10/24/2022 16:00:00,4.08,4.22,3.91,4.21,917254
10/25/2022 16:00:00,4.21,4.51,4.21,4.42,584648
10/26/2022 16:00:00,4.42,4.64,4.38,4.48,596563
10/27/2022 16:00:00,4.51,4.57,4.39,4.43,337016
10/28/2022 16:00:00,4.4,4.47,4.27,4.36,417370
10/31/2022 16:00:00,4.31,4.52,4.28,4.52,524417
11/1/2022 16:00:00,4.65,4.69,4.36,4.4,334629
11/2/2022 16:00:00,4.43,4.5,4.23,4.25,299558
11/3/2022 16:00:00,4.25,4.43,4.2,4.33,216700
11/4/2022 16:00:00,4.47,4.49,4.31,4.44,309953
11/7/2022 16:00:00,4.46,4.46,4.32,4.41,168571
11/8/2022 16:00:00,4.5,4.5,4.26,4.35,286347
11/9/2022 16:00:00,4.33,4.41,4.15,4.19,386376
11/10/2022 16:00:00,4.35,4.86,4.35,4.85,1043611
11/11/2022 16:00:00,4.75,4.95,4.72,4.83,338488
11/14/2022 16:00:00,4.82,4.85,4.62,4.74,387643
11/15/2022 16:00:00,4.94,5.07,4.9,5,443569
11/16/2022 16:00:00,4.92,4.96,4.81,4.96,375645
11/17/2022 16:00:00,4.81,4.95,4.72,4.95,283861
11/18/2022 16:00:00,5,5.05,4.88,5,286800
11/21/2022 16:00:00,4.92,4.93,4.78,4.91,284540
11/22/2022 16:00:00,4.86,4.87,4.76,4.86,210270
11/23/2022 16:00:00,4.84,4.99,4.82,4.93,231621
11/25/2022 13:00:00,4.9,4.93,4.74,4.75,199827
11/28/2022 16:00:00,4.75,4.75,4.26,4.4,712388
11/29/2022 16:00:00,4.42,4.51,4.3,4.33,459411
11/30/2022 16:00:00,4.38,4.77,4.34,4.72,1117627
12/1/2022 16:00:00,4.79,4.81,4.26,4.55,968024
12/2/2022 16:00:00,4.68,5.44,4.6,5.31,1800148
12/5/2022 16:00:00,5.38,5.43,5.04,5.38,905643
12/6/2022 16:00:00,5.31,5.36,4.8,4.86,1107727
12/7/2022 16:00:00,4.82,4.92,4.61,4.65,897546
12/8/2022 16:00:00,4.7,4.95,4.59,4.87,691704
12/9/2022 16:00:00,4.87,4.98,4.72,4.73,784595
12/12/2022 16:00:00,4.65,4.66,4.22,4.5,1418188
12/13/2022 16:00:00,4.69,4.69,4.51,4.59,839629
12/14/2022 16:00:00,4.49,4.55,4.39,4.5,955286
12/15/2022 16:00:00,4.4,4.5,4.33,4.42,1178022
12/16/2022 16:00:00,4.53,4.76,4.51,4.68,3968471
12/19/2022 16:00:00,4.63,4.68,4.46,4.5,467954
12/20/2022 16:00:00,4.45,4.56,4.39,4.45,512979
12/21/2022 16:00:00,4.42,4.45,4.31,4.42,482018
12/22/2022 16:00:00,4.33,4.37,4.23,4.34,589434
12/23/2022 16:00:00,4.32,4.42,4.13,4.38,665515
12/27/2022 16:00:00,4.31,4.33,4.18,4.19,553709
12/28/2022 16:00:00,4.15,4.2,4.05,4.17,535936
12/29/2022 16:00:00,4.37,4.54,4.3,4.52,848338
12/30/2022 16:00:00,4.41,4.58,4.41,4.52,498920
1/3/2023 16:00:00,4.55,4.7,4.32,4.35,461315
1/4/2023 16:00:00,4.5,4.71,4.46,4.68,555698
1/5/2023 16:00:00,4.64,4.69,4.53,4.6,220351
1/6/2023 16:00:00,4.67,4.85,4.63,4.81,591401
1/9/2023 16:00:00,4.88,5.11,4.86,4.89,579928
