Model,Dataset,Horizon,MSE,MAE,RMSE,R²
Autoformer,SASOL,100,0.002001367509365082,0.03322107344865799,0.04473664611577988,-0.008540511131286621
Autoformer,DRD_GOLD,3,0.0009296228527091444,0.021527385339140892,0.030489716678857803,-0.0024253129959106445
Autoformer,DRD_GOLD,5,0.0009373463690280914,0.02176186442375183,0.030616112053394318,-0.0038042068481445312
Autoformer,DRD_GOLD,10,0.0009561037877574563,0.022024597972631454,0.030920928344130516,-0.008268952369689941
Autoformer,DRD_GOLD,22,0.0009587820968590677,0.02201380766928196,0.030964206904172897,-0.006827950477600098
Autoformer,DRD_GOLD,50,0.0009362294804304838,0.021652288734912872,0.0305978674441576,-0.005419611930847168
Autoformer,DRD_GOLD,100,0.0009108818485401571,0.021200433373451233,0.03018081933259964,-0.008118987083435059
Autoformer,ANGLO_AMERICAN,3,0.006846006494015455,0.05740407481789589,0.08274059742689133,-0.010497212409973145
Autoformer,ANGLO_AMERICAN,5,0.007153111044317484,0.058994486927986145,0.0845760703086853,-0.014349818229675293
Autoformer,ANGLO_AMERICAN,10,0.007859921082854271,0.062283359467983246,0.08865619450807571,-0.014379024505615234
Autoformer,ANGLO_AMERICAN,22,0.008060870692133904,0.06436202675104141,0.08978234976530075,-0.026712656021118164
FEDformer,NVIDIA,3,0.0011636391282081604,0.025746535509824753,0.03411215543746948,-0.03730881214141846
FEDformer,NVIDIA,5,0.001173434779047966,0.025958940386772156,0.034255433827638626,-0.0392838716506958
FEDformer,NVIDIA,10,0.0012147781671956182,0.02642807736992836,0.03485366702079773,-0.058976173400878906
FEDformer,NVIDIA,22,0.0012436346150934696,0.026557644829154015,0.035265203565359116,-0.054056525230407715
FEDformer,NVIDIA,50,0.0012184270890429616,0.0265419352799654,0.03490597382187843,-0.02389514446258545
FEDformer,NVIDIA,100,0.0013062598882243037,0.027487827464938164,0.036142218858003616,-0.014637470245361328
FEDformer,APPLE,3,0.0002170858788304031,0.010827734135091305,0.014733834192156792,-0.08574020862579346
FEDformer,APPLE,5,0.0002191392850363627,0.010878017172217369,0.014803353697061539,-0.09100747108459473
FEDformer,APPLE,10,0.00021995966380927712,0.010807598941028118,0.014831037260591984,-0.08639907836914062
FEDformer,APPLE,22,0.0002249732642667368,0.010865772143006325,0.014999108389019966,-0.08418500423431396
FEDformer,APPLE,50,0.0002395748597336933,0.011185561306774616,0.015478205867111683,-0.0797739028930664
FEDformer,APPLE,100,0.0002478626847732812,0.011229078285396099,0.01574365608394146,-0.04976832866668701
FEDformer,NASDAQ,3,0.00014299691247288138,0.008767474442720413,0.011958131566643715,-0.05060732364654541
FEDformer,NASDAQ,5,0.00014784099766984582,0.00890175811946392,0.012158988043665886,-0.08068609237670898
FEDformer,NASDAQ,10,0.000148905543028377,0.008948059752583504,0.012202685698866844,-0.07570433616638184
FEDformer,NASDAQ,22,0.00014791340800002217,0.008905048482120037,0.012161965481936932,-0.057087063789367676
FEDformer,NASDAQ,50,0.00015096536662895232,0.00888944510370493,0.012286796234548092,-0.04225003719329834
FEDformer,NASDAQ,100,0.0001559458178235218,0.00874839536845684,0.012487826868891716,-0.02816462516784668
FEDformer,ABSA,3,0.0004905034438706934,0.016757162287831306,0.02214731276035309,-0.07717883586883545
FEDformer,ABSA,5,0.0004915104364044964,0.016696568578481674,0.022170035168528557,-0.07311451435089111
FEDformer,ABSA,10,0.0005226313369348645,0.017466643825173378,0.02286113239824772,-0.13203060626983643
FEDformer,ABSA,22,0.0004902607761323452,0.01671029068529606,0.02214183285832405,-0.04639995098114014
FEDformer,ABSA,50,0.0005094699445180595,0.017036961391568184,0.022571440786123276,-0.04723632335662842
FEDformer,ABSA,100,0.0005350429564714432,0.017556918784976006,0.0231309961527586,-0.036837100982666016
FEDformer,SASOL,3,0.002273412188515067,0.03536223992705345,0.047680310904979706,-0.031960248947143555
FEDformer,SASOL,5,0.0022890272084623575,0.03542840853333473,0.04784378036856651,-0.03137218952178955
FEDformer,SASOL,10,0.0023064357228577137,0.035346612334251404,0.04802536591887474,-0.03907501697540283
FEDformer,SASOL,22,0.00231826095841825,0.0351884625852108,0.048148322850465775,-0.03303420543670654
FEDformer,SASOL,50,0.0021086998749524355,0.033745307475328445,0.04592058062553406,-0.029255390167236328
FEDformer,SASOL,100,0.002012155717238784,0.03304242342710495,0.04485705867409706,-0.01397693157196045
FEDformer,DRD_GOLD,3,0.000982621219009161,0.022295016795396805,0.03134679049253464,-0.059574127197265625
FEDformer,DRD_GOLD,5,0.0009714191546663642,0.022265497595071793,0.03116759844124317,-0.04029273986816406
FEDformer,DRD_GOLD,10,0.0009872142691165209,0.022489136084914207,0.031419966369867325,-0.04107677936553955
FEDformer,DRD_GOLD,22,0.0009702452225610614,0.022127844393253326,0.03114875964820385,-0.018865466117858887
FEDformer,DRD_GOLD,50,0.0009484099573455751,0.021927349269390106,0.030796265229582787,-0.018500208854675293
FEDformer,DRD_GOLD,100,0.0009211102151311934,0.021335715427994728,0.030349798500537872,-0.019439220428466797
FEDformer,ANGLO_AMERICAN,3,0.006657760590314865,0.05663667246699333,0.08159510046243668,0.017288565635681152
FEDformer,ANGLO_AMERICAN,5,0.006809668615460396,0.05712544545531273,0.08252071589231491,0.034352242946624756
FEDformer,ANGLO_AMERICAN,10,0.007617066614329815,0.06126415729522705,0.08727581053972244,0.016963064670562744
FEDformer,ANGLO_AMERICAN,22,0.007905102334916592,0.06384728103876114,0.08891063928604126,-0.006872415542602539
Informer,NVIDIA,3,0.0011495904764160514,0.025464488193392754,0.03390561044216156,-0.024785280227661133
Informer,NVIDIA,5,0.0011496527586132288,0.02538921870291233,0.03390653058886528,-0.01822066307067871
Informer,NVIDIA,10,0.0011641104938462377,0.02560419775545597,0.03411906212568283,-0.014806985855102539
Informer,NVIDIA,22,0.0012057498097419739,0.026020580902695656,0.034723907709121704,-0.021947026252746582
Informer,NVIDIA,50,0.0012211560970172286,0.0265627671033144,0.0349450446665287,-0.02618849277496338
Informer,NVIDIA,100,0.0012927777133882046,0.02747027575969696,0.035955216735601425,-0.004165172576904297
Informer,APPLE,3,0.00020289731037337333,0.010390602052211761,0.0142442025244236,-0.014777064323425293
Informer,APPLE,5,0.0002028476883424446,0.010308667086064816,0.014242460951209068,-0.009898066520690918
Informer,APPLE,10,0.00021237721375655383,0.010737105272710323,0.014573168009519577,-0.04894876480102539
Informer,APPLE,22,0.00020869601576123387,0.010363031178712845,0.014446315355598927,-0.005742192268371582
Informer,APPLE,50,0.00022367583005689085,0.010754202492535114,0.014955796301364899,-0.008116364479064941
Informer,APPLE,100,0.0002402615500614047,0.011114588007330894,0.015500372275710106,-0.017575383186340332
Informer,NASDAQ,3,0.00014310328697320074,0.00877311546355486,0.011962578631937504,-0.05138885974884033
Informer,NASDAQ,5,0.00014436524361371994,0.008803042583167553,0.012015208601951599,-0.05527901649475098
Informer,NASDAQ,10,0.00014421128435060382,0.008764130994677544,0.01200880017131567,-0.04179275035858154
Informer,NASDAQ,22,0.00015360974066425115,0.009129257872700691,0.012393939308822155,-0.09779679775238037
